ESTADO,UNIVERSIDAD,CAMPUS,Matricula_Total
AGUASCALIENTES,UNIVERSIDAD AUTÓNOMA DE AGUASCALIENTES,CENTRO CIENCIAS BIOMÉDICAS,"2,455"
AGUASCALIENTES,UNIVERSIDAD AUTÓNOMA DE AGUASCALIENTES,CENTRO DE CIENCIAS DE LA INGENIERÍA,"1,330"
AGUASCALIENTES,UNIVERSIDAD AUTÓNOMA DE AGUASCALIENTES,CENTRO DE CIENCIAS DE LAS ARTES Y LA CULTURA,571
AGUASCALIENTES,UNIVERSIDAD AUTÓNOMA DE AGUASCALIENTES,CENTRO DE CIENCIAS DEL DISEÑO Y DE LA CONSTRUCCIÓN,"2,079"
AGUASCALIENTES,UNIVERSIDAD AUTÓNOMA DE AGUASCALIENTES,CENTRO DE CIENCIAS ECONÓMICAS Y ADMINISTRATIVAS,"3,103"
AGUASCALIENTES,UNIVERSIDAD AUTÓNOMA DE AGUASCALIENTES,CENTRO DE CIENCIAS EMPRESARIALES,899
AGUASCALIENTES,UNIVERSIDAD AUTÓNOMA DE AGUASCALIENTES,CENTRO DE CIENCIAS SOCIALES Y HUMANIDADES,"2,639"
AGUASCALIENTES,UNIVERSIDAD BONAGENS,UNIVERSIDAD BONAGENS,225
AGUASCALIENTES,UNIVERSIDAD CUAUHTÉMOC,"UNIVERSIDAD CUAUHTÉMOC, S.C. - PLANTEL AGUASCALIENTES","4,149"
AGUASCALIENTES,UNIVERSIDAD CUAUHTÉMOC,"UNIVERSIDAD CUAUHTÉMOC, S.C. - PLANTEL AGUASCALIENTES, SEDE SUR",561
AGUASCALIENTES,UNIVERSIDAD DE DURANGO,UNIVERSIDAD DE DURANGO - CAMPUS AGUASCALIENTES,404
AGUASCALIENTES,UNIVERSIDAD DE ESTUDIOS AVANZADOS,UNIVERSIDAD DE ESTUDIOS AVANZADOS - CAMPUS AGUASCALIENTES,"1,242"
AGUASCALIENTES,UNIVERSIDAD DE LA CIUDAD DE AGUASCALIENTES,UNIVERSIDAD DE LA CIUDAD DE AGUASCALIENTES,184
AGUASCALIENTES,UNIVERSIDAD DEL DESARROLLO PROFESIONAL,UNIVERSIDAD DEL DESARROLLO PROFESIONAL - PLANTEL AGUASCALIENTES,209
AGUASCALIENTES,UNIVERSIDAD DEL VALLE DE MÉXICO,UNIVERSIDAD DEL VALLE DE MÉXICO - CAMPUS AGUASCALIENTES,607
AGUASCALIENTES,UNIVERSIDAD DINAMO DE AMÉRICA,UNIVERSIDAD DINAMO DE AMÉRICA,207
AGUASCALIENTES,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO - CAMPUS AGUASCALIENTES,"1,799"
AGUASCALIENTES,UNIVERSIDAD LA CONCORDIA,UNIVERSIDAD LA CONCORDIA CAMPUS CENTRO,324
AGUASCALIENTES,UNIVERSIDAD LA CONCORDIA,UNIVERSIDAD LA CONCORDIA CAMPUS FÓRUM INTERNACIONAL,"2,813"
AGUASCALIENTES,UNIVERSIDAD LAS AMÉRICAS DE CENTRO OCCIDENTE,UNIVERSIDAD LAS AMÉRICAS DE CENTRO OCCIDENTE,436
AGUASCALIENTES,UNIVERSIDAD PANAMERICANA,UNIVERSIDAD PANAMERICANA - CAMPUS BONATERRA,"1,563"
AGUASCALIENTES,UNIVERSIDAD PANAMERICANA,UNIVERSIDAD PANAMERICANA - SEDE SAN TELMO,12
AGUASCALIENTES,UNIVERSIDAD POLITÉCNICA DE AGUASCALIENTES,UNIVERSIDAD POLITÉCNICA DE AGUASCALIENTES,"2,665"
AGUASCALIENTES,UNIVERSIDAD TECNOLÓGICA DE AGUASCALIENTES,UNIVERSIDAD TECNOLÓGICA DE AGUASCALIENTES,"3,763"
AGUASCALIENTES,UNIVERSIDAD TECNOLÓGICA DE CALVILLO,UNIVERSIDAD TECNOLÓGICA DE CALVILLO,385
AGUASCALIENTES,UNIVERSIDAD TECNOLÓGICA DEL NORTE DE AGUASCALIENTES,UNIVERSIDAD TECNOLÓGICA DEL NORTE DE AGUASCALIENTES,"2,756"
AGUASCALIENTES,UNIVERSIDAD TECNOLÓGICA EL RETOÑO,UNIVERSIDAD TECNOLÓGICA DE EL RETOÑO,914
AGUASCALIENTES,UNIVERSIDAD TECNOLÓGICA METROPOLITANA DE AGUASCALIENTES,UNIVERSIDAD TECNOLÓGICA METROPOLITANA DE AGUASCALIENTES,441
AGUASCALIENTES,UNIVERSIDAD VILLASUNCION,CIENCIAS BIOMÉDICAS,312
AGUASCALIENTES,UNIVERSIDAD VILLASUNCION,CIENCIAS JURÍDICAS,313
AGUASCALIENTES,UNIVERSIDAD VILLASUNCION,UNIVERSIDAD VILLASUNCIÓN - CAMPUS AGUASCALIENTES,120
AGUASCALIENTES,INSTITUTO UNIVERSITARIO LUXX,INSTITUTO UNIVERSITARIO LUXX,24
BAJA CALIFORNIA,ACADEMIA DE SEGURIDAD PÚBLICA DEL ESTADO DE BAJA CALIFORNIA,ACADEMIA DE SEGURIDAD PÚBLICA DEL ESTADO DE B.C. CAMPUS ENSENADA,70
BAJA CALIFORNIA,ACADEMIA DE SEGURIDAD PÚBLICA DEL ESTADO DE BAJA CALIFORNIA,ACADEMIA DE SEGURIDAD PÚBLICA DEL ESTADO DE B.C. CAMPUS MEXICALI,80
BAJA CALIFORNIA,ACADEMIA DE SEGURIDAD PÚBLICA DEL ESTADO DE BAJA CALIFORNIA,ACADEMIA DE SEGURIDAD PÚBLICA DEL ESTADO DE B.C. CAMPUS TECATE,87
BAJA CALIFORNIA,ACADEMIA DE SEGURIDAD PÚBLICA DEL ESTADO DE BAJA CALIFORNIA,ACADEMIA DE SEGURIDAD PÚBLICA DEL ESTADO DE B.C. CAMPUS TIJUANA,81
BAJA CALIFORNIA,ATENEO UNIVERSITARIO,ATENEO UNIVERSITARIO,80
BAJA CALIFORNIA,BENEMÉRITA ESCUELA NORMAL EDUCADORA ROSAURA ZAPATA,BENEMÉRITA ESCUELA NORMAL PARA LIC. EN EDUCACIÓN PRESCOLAR EDUCADORA ROSAURA ZAPATA,312
BAJA CALIFORNIA,"BENEMÉRITA ESCUELA NORMAL ESTATAL, PROFESOR JESÚS PRADO LUNA","BENEMÉRITA ESCUELA NORMAL ESTATAL, PROFESOR JESÚS PRADO LUNA",325
BAJA CALIFORNIA,BENEMÉRITA ESCUELA NORMAL URBANA FEDERAL FRONTERIZA,BENEMÉRITA ESCUELA NORMAL URBANA FEDERAL FRONTERIZA,403
BAJA CALIFORNIA,CAM CENTRO DE ARTES MUSICALES DE BC,CAM CENTRO DE ARTES MUSICALES DE BC,58
BAJA CALIFORNIA,CENTRO ACADÉMICO Y DE ESPECIALIDADES CAYS,CENTRO ACADÉMICO Y DE ESPECIALIDADES CAYS,7
BAJA CALIFORNIA,CENTRO DE ENSEÑANZA E INVESTIGACIÓN SUPERIOR DE BAJA CALIFORNIA,CENTRO DE ENSEÑANZA E INVESTIGACIÓN SUPERIOR DE BAJA CALIFORNIA,36
BAJA CALIFORNIA,CENTRO DE ENSEÑANZA E INVESTIGACIÓN SUPERIOR DE TIJUANA,CENTRO DE ENSEÑANZA E INVESTIGACIÓN SUPERIOR DE TIJUANA,155
BAJA CALIFORNIA,CENTRO DE ENSEÑANZA TÉCNICA Y SUPERIOR,DIRECCIÓN DE EDUCACIÓN SUPERIOR E INVESTIGACIÓN CETYS ENSENADA,642
BAJA CALIFORNIA,CENTRO DE ENSEÑANZA TÉCNICA Y SUPERIOR,DIRECCIÓN DE EDUCACIÓN SUPERIOR E INVESTIGACIÓN CETYS MEXICALI,"2,491"
BAJA CALIFORNIA,CENTRO DE ENSEÑANZA TÉCNICA Y SUPERIOR,DIRECCIÓN DE EDUCACIÓN SUPERIOR E INVESTIGACIÓN CETYS TIJUANA,"2,400"
BAJA CALIFORNIA,CENTRO DE ENSEÑANZA Y CAPACITACIÓN DE ESTUDIOS SUPERIORES DE BAJA CALIFORNIA,CENTRO DE ENSEÑANZA Y CAPACITACIÓN DE ESTUDIOS SUPERIORES DE BAJA CALIFORNIA,399
BAJA CALIFORNIA,CENTRO DE ESPECIALIDADES ODONTOLÓGICAS DR. RENATO DE TOLEDO LEONARDO,CENTRO DE ESPECIALIDADES ODONTOLÓGICAS DR. RENATO DE TOLEDO LEONARDO,29
BAJA CALIFORNIA,CENTRO DE ESTUDIOS DE POSGRADO APLICADOS A LA INDUSTRIA,CENTRO DE ESTUDIOS DE POSGRADO APLICADOS A LA INDUSTRIA,31
BAJA CALIFORNIA,CENTRO DE ESTUDIOS E INVESTIGACIONES PARA EL DESARROLLO DOCENTE CENID,CENTRO DE ESTUDIOS E INVESTIGACIONES PARA EL DESARROLLO DOCENTE CENID,16
BAJA CALIFORNIA,CENTRO DE ESTUDIOS FIBONACCI,CENTRO DE ESTUDIOS FIBONACCI,13
BAJA CALIFORNIA,CENTRO DE ESTUDIOS SUPERIORES DEL NAYAR,CENTRO DE ESTUDIOS SUPERIORES DEL NAYAR,90
BAJA CALIFORNIA,CENTRO DE ESTUDIOS SUPERIORES DEL NOROESTE,CENTRO DE ESTUDIOS SUPERIORES DEL NOROESTE,"2,950"
BAJA CALIFORNIA,CENTRO DE ESTUDIOS SUPERIORES EDUMAX,CENTRO DE ESTUDIOS SUPERIORES EDUMAX - MEXICALI 1,2
BAJA CALIFORNIA,CENTRO DE ESTUDIOS SUPERIORES EDUMAX,CENTRO DE ESTUDIOS SUPERIORES EDUMAX - MEXICALI 2,11
BAJA CALIFORNIA,CENTRO DE ESTUDIOS SUPERIORES EN CIENCIAS ADMINISTRATIVAS CESCA,CENTRO DE ESTUDIOS SUPERIORES EN CIENCIAS ADMINISTRATIVAS CESCA,5
BAJA CALIFORNIA,CENTRO DE ESTUDIOS SUPERIORES EN CIENCIAS ADMINISTRATIVAS CESCA,CENTRO DE ESTUDIOS SUPERIORES EN CIENCIAS ADMINISTRATIVAS CESCA - PLANTEL EDUCATIVO 2000,52
