ESTADO,UNIVERSIDAD,CAMPUS,Matricula_Total
CIUDAD DE MÉXICO,UNIVERSIDAD TRES CULTURAS,UNIVERSIDAD TRES CULTURAS - PLANTEL CUAUHTÉMOC,"3,407"
CIUDAD DE MÉXICO,UNIVERSIDAD UCUGS,UNIVERSIDAD UCUGS - CAMPUS CUAUHTÉMOC,"1,402"
CIUDAD DE MÉXICO,UNIVERSIDAD UNIVER,UNIVERSIDAD UNIVER - MILENIUM PLANTEL PANTITLÁN,491
CIUDAD DE MÉXICO,UNIVERSIDAD VICTORIA,UNIVERSIDAD VICTORIA,186
CIUDAD DE MÉXICO,UNIVERSIDAD WESTHILL,UNIVERSIDAD WESTHILL,779
CIUDAD DE MÉXICO,UNIVERSIDAD YMCA,UNIVERSIDAD YMCA,835
CIUDAD DE MÉXICO,UNIVERSIDAD DE LA SALUD DE LA CIUDAD DE MÉXICO,UNIVERSIDAD DE LA SALUD DE LA CIUDAD DE MÉXICO,"1,044"
CIUDAD DE MÉXICO,UNIVERSIDAD NAVAL DE LA SECRETARÍA DE MARINA,CENTRO DE ESTUDIOS SUPERIORES NAVALES,208
CIUDAD DE MÉXICO,UNIVERSIDAD NAVAL DE LA SECRETARÍA DE MARINA,ESCUELA DE POSGRADOS EN SANIDAD NAVAL,122
CIUDAD DE MÉXICO,UNIVERSIDAD NAVAL DE LA SECRETARÍA DE MARINA,ESCUELA MEDICO NAVAL DE LA SECRETARIA DE MARINA,531
CIUDAD DE MÉXICO,UNIVERSIDAD HUMANITAS S.C.,UNIVERSIDAD HUMANITAS S.C. - PLANTEL DEL VALLE,"1,955"
CIUDAD DE MÉXICO,CENTRO UNIVERSITARIO AULA DIGITAL MÉXICO,CENTRO UNIVERSITARIO AULA DIGITAL MÉXICO,851
CIUDAD DE MÉXICO,UNIVERSIDAD VALLE DORADO,UNIVERSIDAD VALLE DORADO - PLANTEL CIUDAD DE MÉXICO,306
CIUDAD DE MÉXICO,INSTITUTO ANGLO DE EDUCACIÓN,INSTITUTO ANGLO DE EDUCACIÓN,21
CIUDAD DE MÉXICO,INSTITUTO DE ESTUDIOS SUPERIORES EN EDUCACIÓN POR COMPETENCIAS,INSTITUTO DE ESTUDIOS SUPERIORES EN EDUCACIÓN POR COMPETENCIAS,21
COAHUILA,ACADEMIA DE ARTE Y DISEÑO,ACADEMIA DE ARTE Y DISEÑO,38
COAHUILA,BENEMÉRITA ESCUELA NORMAL DE COAHUILA,BENEMÉRITA ESCUELA NORMAL DE COAHUILA,250
COAHUILA,CENTRO DE ESTUDIOS EN EDUCACIÓN Y DESARROLLO HUMANO,CENTRO DE ESTUDIOS EN EDUCACIÓN Y DESARROLLO HUMANO,22
COAHUILA,CENTRO DE ESTUDIOS SUPERIORES AZTECA,CENTRO DE ESTUDIOS SUPERIORES AZTECA,21
COAHUILA,CENTRO DE ESTUDIOS SUPERIORES DE CIENCIAS Y HUMANIDADES,CENTRO DE ESTUDIOS SUPERIORES DE CIENCIAS Y HUMANIDADES,40
COAHUILA,CENTRO DE INVESTIGACIÓN EN PSICOTERAPIA GESTALT FRITZ PERLS,CENTRO DE INVESTIGACIÓN EN PSICOTERAPIA GESTALT FRITZ PERLS,21
COAHUILA,CENTRO DE INVESTIGACIÓN EN QUÍMICA APLICADA,CENTRO DE INVESTIGACIÓN EN QUÍMICA APLICADA,30
COAHUILA,CENTRO UNIVERSITARIO ANGLOAMERICANO,CENTRO UNIVERSITARIO ANGLOAMERICANO - PLANTEL TORREÓN,36
COAHUILA,CENTRO UNIVERSITARIO COAHUILENSE,CENTRO UNIVERSITARIO COAHUILENSE - ALLENDE,85
COAHUILA,CENTRO UNIVERSITARIO COAHUILENSE,CENTRO UNIVERSITARIO COAHUILENSE - MATAMOROS,448
COAHUILA,CENTRO UNIVERSITARIO COAHUILENSE,CENTRO UNIVERSITARIO COAHUILENSE - MONCLOVA,868
COAHUILA,CENTRO UNIVERSITARIO COAHUILENSE,CENTRO UNIVERSITARIO COAHUILENSE - SABINAS,399
COAHUILA,CENTRO UNIVERSITARIO DEL NORTE,CENTRO UNIVERSITARIO DEL NORTE,31
COAHUILA,CENTRO UNIVERSITARIO VIRTUAL THOMAS RUSSELL,CENTRO UNIVERSITARIO VIRTUAL THOMAS RUSSELL,184
COAHUILA,COLEGIO DE DISEÑO Y DECORACIÓN,COLEGIO DE DISEÑO Y DECORACIÓN,18
COAHUILA,"CORPORACIÓN MEXICANA DE INVESTIGACIÓN EN MATERIALES, S. A. DE C. V.","CORPORACIÓN MEXICANA DE INVESTIGACIÓN EN MATERIALES, S. A. DE C. V.",20
COAHUILA,"ENSEÑANZA E INVESTIGACIÓN SUPERIOR, A.C.",UNIVERSIDAD TECMILENIO - CAMPUS LAGUNA,875
COAHUILA,ESCUELA DE ENFERMERÍA DE LA CRUZ ROJA DE MONCLOVA,ESCUELA DE ENFERMERÍA DE LA CRUZ ROJA DE MONCLOVA,440
COAHUILA,ESCUELA DE ENFERMERÍA DE SAN PEDRO,ESCUELA DE ENFERMERÍA DE SAN PEDRO,53
COAHUILA,ESCUELA DE LICENCIATURA EN ENFERMERÍA REGIÓN CARBONÍFERA,ESCUELA DE LICENCIATURA EN ENFERMERÍA REGIÓN CARBONÍFERA,320
COAHUILA,ESCUELA DE MEDICINA DENTAL,ESCUELA DE MEDICINA DENTAL,130
COAHUILA,ESCUELA MUNICIPAL DE DANZA CONTEMPORÁNEA DE TORREÓN,ESCUELA MUNICIPAL DE DANZA CONTEMPORÁNEA DE TORREÓN,24
COAHUILA,ESCUELA NORMAL DE EDUCACIÓN FÍSICA DE COAHUILA,ESCUELA NORMAL DE EDUCACIÓN FÍSICA,100
COAHUILA,ESCUELA NORMAL DE EDUCACIÓN PREESCOLAR DEL ESTADO DE COAHUILA,ESCUELA NORMAL DE EDUCACIÓN PREESCOLAR DEL ESTADO DE COAHUILA,256
COAHUILA,ESCUELA NORMAL DE MONCLOVA,ESCUELA NORMAL DE MONCLOVA,378
COAHUILA,ESCUELA NORMAL DE TORREÓN,ESCUELA NORMAL DE TORREÓN,749
COAHUILA,ESCUELA NORMAL EXPERIMENTAL,ESCUELA NORMAL EXPERIMENTAL,302
COAHUILA,ESCUELA NORMAL OFICIAL DORA MADERO,ESCUELA NORMAL OFICIAL DORA MADERO,245
COAHUILA,ESCUELA NORMAL REGIONAL DE ESPECIALIZACIÓN,ESCUELA NORMAL REGIONAL DE ESPECIALIZACIÓN,104
COAHUILA,ESCUELA NORMAL SUPERIOR DEL ESTADO DE COAHUILA,ESCUELA NORMAL SUPERIOR DEL ESTADO DE COAHUILA,351
COAHUILA,ESCUELA SUPERIOR DE AGRICULTURA Y VETERINARIA DE SAN BUENAVENTURA,ESCUELA SUPERIOR DE AGRICULTURA Y VETERINARIA DE SAN BUENAVENTURA,220
COAHUILA,ESCUELA SUPERIOR DE CONTADURÍA Y ADMINISTRACIÓN,ESCUELA SUPERIOR DE CONTADURÍA Y ADMINISTRACIÓN,169
COAHUILA,ESCUELA SUPERIOR DE PROTECCIÓN CIVIL Y BOMBEROS,ESCUELA SUPERIOR DE PROTECCIÓN CIVIL Y BOMBEROS,28
COAHUILA,ESTUDIOS UNIVERSITARIOS TARSO,ESTUDIOS UNIVERSITARIOS TARSO,38
COAHUILA,IMESAD,IMESAD - CAMPUS TORREÓN,177
COAHUILA,INSTITUTO CAMPO DE ORO,INSTITUTO CAMPO DE ORO,109
COAHUILA,INSTITUTO DE CIENCIA Y CULTURA,INSTITUTO DE CIENCIA Y CULTURA,95
COAHUILA,INSTITUTO DE COMUNICACIÓN GRAFICA DEL NORTE,INSTITUTO DE COMUNICACIÓN GRAFICA DEL NORTE,70
COAHUILA,INSTITUTO DE EDUCACIÓN EXCÉLSIOR,INSTITUTO DE EDUCACIÓN EXCÉLSIOR,189
COAHUILA,INSTITUTO DE EDUCACIÓN MEDIA Y SUPERIOR MA ESTHER ZUNO DE ECHEVERRÍA,INSTITUTO DE EDUCACIÓN MEDIA Y SUPERIOR MA ESTHER ZUNO DE ECHEVERRÍA,"1,116"
COAHUILA,INSTITUTO DE EDUCACIÓN SUPERIOR CASTAÑOS,INSTITUTO DE EDUCACIÓN SUPERIOR CASTAÑOS,28
COAHUILA,INSTITUTO DE ENSEÑANZA Y CAPACITACIÓN,INSTITUTO DE ENSEÑANZA Y CAPACITACIÓN,540
COAHUILA,INSTITUTO DE ESTUDIOS SUPERIORES EN MODA Y DISEÑO,INSTITUTO DE ESTUDIOS SUPERIORES EN MODA Y DISEÑO,34
COAHUILA,INSTITUTO DE ESTUDIOS SUPERIORES IGNACIO ZARAGOZA,INSTITUTO DE ESTUDIOS SUPERIORES IGNACIO ZARAGOZA,833
COAHUILA,INSTITUTO DE ESTUDIOS SUPERIORES PARA EL DESARROLLO INTEGRAL,INSTITUTO DE ESTUDIOS SUPERIORES PARA EL DESARROLLO INTEGRAL,125
COAHUILA,INSTITUTO DE POSGRADO EN HUMANIDADES,INSTITUTO DE POSGRADO EN HUMANIDADES,438
COAHUILA,INSTITUTO DEL VALLE DE CANDAMO,INSTITUTO DEL VALLE DE CANDAMO,425
COAHUILA,INSTITUTO DR. CARLOS COQUI,INSTITUTO DR. CARLOS COQUI - CAMPUS TORREÓN,427
COAHUILA,INSTITUTO EN CRIMINALÍSTICA Y CIENCIAS POLICIALES ALFONSO QUIROZ CUARON,INSTITUTO EN CRIMINALÍSTICA Y CIENCIAS POLICIALES ALFONSO QUIROZ CUARON,15
COAHUILA,INSTITUTO GRECOLATINO,"INSTITUTO GRECOLATINO, A.C.",116
COAHUILA,INSTITUTO HUMANISTA DE PSICOTERAPIA GESTALT,INSTITUTO HUMANISTA DE PSICOTERAPIA GESTALT - SEDE SALTILLO,122
COAHUILA,INSTITUTO INTERNACIONAL DE ADMINISTRACIÓN ESTRATÉGICA,INSTITUTO INTERNACIONAL DE ADMINISTRACIÓN ESTRATÉGICA,46
COAHUILA,INSTITUTO MEXICANO DE ESTUDIOS SUPERIORES,INSTITUTO MEXICANO DE ESTUDIOS SUPERIORES,13
COAHUILA,INSTITUTO PEDAGÓGICO DE FORMACIÓN PROFESIONAL,INSTITUTO PEDAGÓGICO DE FORMACIÓN PROFESIONAL,115
COAHUILA,INSTITUTO PROFESIONAL ODONTOLÓGICO CONTEMPORÁNEO,INSTITUTO PAGAN ODONTOLÓGICO CONTEMPORÁNEO,198
COAHUILA,INSTITUTO PROFESIONAL ODONTOLÓGICO CONTEMPORÁNEO,INSTITUTO PROFESIONAL ODONTOLÓGICO CONTEMPORÁNEO,41
COAHUILA,INSTITUTO SUPERIOR DE ADMINISTRACIÓN Y NEGOCIOS,INSTITUTO SUPERIOR DE ADMINISTRACIÓN Y NEGOCIOS,166
COAHUILA,INSTITUTO SUPERIOR DE CIENCIAS QUÍMICO BIOLÓGICAS,INSTITUTO SUPERIOR DE CIENCIAS QUÍMICO BIOLÓGICAS,5
COAHUILA,INSTITUTO SUPERIOR DE RAMOS ARIZPE LA MISIÓN,INSTITUTO SUPERIOR DE RAMOS ARIZPE LA MISIÓN,26
COAHUILA,INSTITUTO TECNOLÓGICO DE ESTUDIOS EN AUDIO,INSTITUTO TECNOLÓGICO DE ESTUDIOS EN AUDIO,32
COAHUILA,INSTITUTO TECNOLÓGICO DE ESTUDIOS SUPERIORES DE LA REGIÓN CARBONÍFERA,INSTITUTO TECNOLÓGICO DE ESTUDIOS SUPERIORES DE LA REGIÓN CARBONÍFERA,"2,294"
COAHUILA,INSTITUTO TECNOLÓGICO DE LA LAGUNA,INSTITUTO TECNOLÓGICO DE LA LAGUNA,"5,640"
COAHUILA,INSTITUTO TECNOLÓGICO DE PIEDRAS NEGRAS,INSTITUTO TECNOLÓGICO DE PIEDRAS NEGRAS,"1,853"
COAHUILA,INSTITUTO TECNOLÓGICO DE SALTILLO,INSTITUTO TECNOLÓGICO DE SALTILLO,"7,748"
COAHUILA,INSTITUTO TECNOLÓGICO DE TORREÓN,INSTITUTO TECNOLÓGICO DE TORREÓN,704
COAHUILA,INSTITUTO TECNOLÓGICO DON BOSCO,INSTITUTO TECNOLÓGICO DON BOSCO,179
COAHUILA,INSTITUTO TECNOLÓGICO MA. ESTHER ZUNO DE ECHEVERRÍA,INSTITUTO TECNOLÓGICO MA. ESTHER ZUNO DE ECHEVERRÍA,23
COAHUILA,INSTITUTO TECNOLÓGICO SUPERIOR DE CIUDAD ACUÑA,INSTITUTO TECNOLÓGICO SUPERIOR DE CIUDAD ACUÑA,"2,382"
COAHUILA,INSTITUTO TECNOLÓGICO SUPERIOR DE MONCLOVA,INSTITUTO TECNOLÓGICO SUPERIOR DE MONCLOVA,"2,034"
COAHUILA,INSTITUTO TECNOLÓGICO SUPERIOR DE MUZQUIZ,INSTITUTO TECNOLÓGICO SUPERIOR DE MUZQUIZ,792
COAHUILA,INSTITUTO TECNOLÓGICO SUPERIOR DE SAN PEDRO,INSTITUTO TECNOLÓGICO SUPERIOR DE SAN PEDRO,"1,024"
COAHUILA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY - CAMPUS LAGUNA,848
COAHUILA,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,INSTITUTO TECNOLÓGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY - CAMPUS SALTILLO,479
COAHUILA,INSTITUTO TEOLÓGICO DE ESTUDIOS SUPERIORES DE ALTO DESARROLLO,INSTITUTO TEOLÓGICO DE ESTUDIOS SUPERIORES DE ALTO DESARROLLO,8
COAHUILA,INSTITUTO UNIVERSITARIO DEL CENTRO DE MÉXICO,INSTITUTO UNIVERSITARIO DEL CENTRO DE MÉXICO - CAMPUS SALTILLO,941
COAHUILA,INSTITUTO UNIVERSITARIO DEL CENTRO DE MÉXICO,INSTITUTO UNIVERSITARIO DEL CENTRO DE MÉXICO - CAMPUS TORREÓN,34
COAHUILA,INSTITUTO UNIVERSITARIO DEL NORTE,INSTITUTO UNIVERSITARIO DEL NORTE - CAMPUS MONCLOVA,62
COAHUILA,INSTITUTO UNIVERSITARIO DEL NORTE,INSTITUTO UNIVERSITARIO DEL NORTE - CAMPUS PIEDRAS NEGRAS,19
COAHUILA,INSTITUTO UNIVERSITARIO DEL NORTE,INSTITUTO UNIVERSITARIO DEL NORTE - CAMPUS SALTILLO,"4,167"
COAHUILA,INSTITUTO UNIVERSITARIO DEL NORTE,INSTITUTO UNIVERSITARIO DEL NORTE - CAMPUS TORREÓN,225
COAHUILA,INSTITUTO UNIVERSITARIO ESPAÑA DE COAHUILA,INSTITUTO UNIVERSITARIO ESPAÑA DE COAHUILA,0
COAHUILA,INSTITUTO UNIVERSITARIO PAULO FREIRE,INSTITUTO UNIVERSITARIO PAULO FREIRE,980
COAHUILA,INSTITUTO UNIVERSITARIO VALLE DE COAHUILA,INSTITUTO UNIVERSITARIO VALLE DE COAHUILA,13
COAHUILA,MA. JOSEFA MEDINA DE VALLE ARIZPE,MA. JOSEFA MEDINA DE VALLE ARIZPE,310
COAHUILA,SEMINARIO DE SALTILLO,SEMINARIO DE SALTILLO,18
COAHUILA,U P N UNIDAD PIEDRAS NEGRAS,UPN UNIDAD SEAD 53,461
COAHUILA,UNIVERSIDAD AUTÓNOMA AGRARIA ANTONIO NARRO,UNIVERSIDAD AUTÓNOMA AGRARIA ANTONIO NARRO,"6,048"
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,CENTRO DE ESTUDIOS E INVESTIGACIONES INTERDISCIPLINARIOS,15
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,CENTRO DE INVESTIGACIÓN EN GEOCIENCIAS APLICADAS,22
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,CENTRO DE INVESTIGACIONES EN MATEMÁTICAS APLICADAS,13
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,CENTRO DE INVESTIGACIONES SOCIOECONÓMICAS,11
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,ESCUELA DE ADMINISTRACIÓN,102
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,ESCUELA DE ARQUITECTURA,337
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,ESCUELA DE ARTE,50
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,ESCUELA DE ARTES PLÁSTICAS PROFR. RUBÉN HERRERA,359
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,ESCUELA DE CIENCIAS BIOLÓGICAS,777
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,ESCUELA DE CIENCIAS DE LA COMUNIDAD,658
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,ESCUELA DE CIENCIAS DE LA SALUD,452
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,ESCUELA DE CIENCIAS SOCIALES,101
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,ESCUELA DE LICENCIATURA EN ENFERMERÍA,416
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,ESCUELA DE LICENCIATURA EN ENFERMERÍA DR. SANTIAGO VALDÉS GALINDO,602
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,ESCUELA DE MEDICINA,397
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,ESCUELA DE PSICOLOGÍA,968
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,ESCUELA DE SISTEMAS,393
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,ESCUELA DE SISTEMAS PROF. MARCIAL RUIZ,292
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,ESCUELA SUPERIOR DE INGENIERÍA LIC. ADOLFO LÓPEZ MATEOS,161
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,ESCUELA SUPERIOR DE MÚSICA,172
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE ADMINISTRACIÓN FISCAL Y FINANCIERA,622
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE ADMINISTRACIÓN Y CONTADURÍA,343
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE ARQUITECTURA,614
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE CIENCIAS DE LA ADMINISTRACIÓN,"1,997"
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE CIENCIAS DE LA COMUNICACIÓN,355
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE CIENCIAS EDUCACIÓN Y HUMANIDADES,373
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE CIENCIAS FÍSICO MATEMÁTICAS,211
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE CIENCIAS POLÍTICAS Y SOCIALES,466
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE CIENCIAS QUÍMICAS,"1,269"
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN,"1,607"
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE CONTADURÍA Y ADMINISTRACIÓN TORREÓN,"3,173"
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE DERECHO,"1,509"
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE ECONOMÍA,153
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE ECONOMÍA Y MERCADOTECNIA,410
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE INGENIERÍA,"1,019"
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE INGENIERÍA CIVIL,468
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE INGENIERÍA MECÁNICA Y ELÉCTRICA,980
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE INGENIERÍA MECÁNICA Y ELÉCTRICA UNIDAD TORREÓN,453
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE JURISPRUDENCIA,707
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE MEDICINA UNIDAD SALTILLO,695
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE MEDICINA UNIDAD TORREÓN,820
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE MERCADOTECNIA,325
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE METALURGIA,370
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE ODONTOLOGÍA UNIDAD SALTILLO,476
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE ODONTOLOGÍA UNIDAD TORREÓN,485
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE SISTEMAS,"1,083"
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,FACULTAD DE TRABAJO SOCIAL,322
COAHUILA,UNIVERSIDAD AUTÓNOMA DE COAHUILA,INSTITUTO DE INVESTIGACIONES JURÍDICAS ACADEMIA INTERAMERICANA DE DERECHOS HUMANOS,125
COAHUILA,UNIVERSIDAD AUTÓNOMA DE DURANGO A.C.,UNIVERSIDAD AUTÓNOMA DE DURANGO - CAMPUS SALTILLO,854
COAHUILA,UNIVERSIDAD AUTÓNOMA DE LA LAGUNA,UNIVERSIDAD AUTÓNOMA DE LA LAGUNA,"1,379"
COAHUILA,UNIVERSIDAD AUTÓNOMA DE PIEDRAS NEGRAS,UNIVERSIDAD AUTÓNOMA DE PIEDRAS NEGRAS,356
COAHUILA,UNIVERSIDAD AUTÓNOMA DEL NORESTE,UNIVERSIDAD AUTÓNOMA DEL NORESTE CAMPUS MONCLOVA,844
COAHUILA,UNIVERSIDAD AUTÓNOMA DEL NORESTE,UNIVERSIDAD AUTÓNOMA DEL NORESTE CAMPUS PIEDRAS NEGRAS,900
COAHUILA,UNIVERSIDAD AUTÓNOMA DEL NORESTE,UNIVERSIDAD AUTÓNOMA DEL NORESTE CAMPUS SABINAS,317
COAHUILA,UNIVERSIDAD AUTÓNOMA DEL NORESTE,UNIVERSIDAD AUTÓNOMA DEL NORESTE CAMPUS SALTILLO,"5,324"
COAHUILA,UNIVERSIDAD AUTÓNOMA DEL NORESTE,UNIVERSIDAD AUTÓNOMA DEL NORESTE CAMPUS TORREÓN,"1,167"
COAHUILA,UNIVERSIDAD CAROLINA,UNIVERSIDAD CAROLINA,"1,397"
COAHUILA,UNIVERSIDAD CNCI,UNIVERSIDAD CNCI - CAMPUS SALTILLO,"4,003"
COAHUILA,UNIVERSIDAD CNCI,UNIVERSIDAD CNCI - COAHUILA UNIVERSIDAD A DISTANCIA EXTENSIÓN ALLENDE,36
COAHUILA,UNIVERSIDAD CNCI,UNIVERSIDAD CNCI - COAHUILA UNIVERSIDAD A DISTANCIA EXTENSIÓN BOQUILLA DE LAS PERLAS,34
COAHUILA,UNIVERSIDAD CNCI,UNIVERSIDAD CNCI - COAHUILA UNIVERSIDAD A DISTANCIA EXTENSIÓN COYOTE,21
COAHUILA,UNIVERSIDAD CNCI,UNIVERSIDAD CNCI - COAHUILA UNIVERSIDAD A DISTANCIA EXTENSIÓN GENERAL CEPEDA,86
COAHUILA,UNIVERSIDAD CNCI,UNIVERSIDAD CNCI - COAHUILA UNIVERSIDAD A DISTANCIA EXTENSIÓN HÉRCULES,27
COAHUILA,UNIVERSIDAD CNCI,UNIVERSIDAD CNCI - COAHUILA UNIVERSIDAD A DISTANCIA EXTENSIÓN HIDALGO,14
COAHUILA,UNIVERSIDAD CNCI,UNIVERSIDAD CNCI - COAHUILA UNIVERSIDAD A DISTANCIA EXTENSIÓN JIMÉNEZ,7
COAHUILA,UNIVERSIDAD CNCI,UNIVERSIDAD CNCI - COAHUILA UNIVERSIDAD A DISTANCIA EXTENSIÓN LA ESMERALDA,3
COAHUILA,UNIVERSIDAD CNCI,UNIVERSIDAD CNCI - COAHUILA UNIVERSIDAD A DISTANCIA EXTENSIÓN MORELOS,58
COAHUILA,UNIVERSIDAD CNCI,UNIVERSIDAD CNCI - COAHUILA UNIVERSIDAD A DISTANCIA EXTENSIÓN OCAMPO,44
COAHUILA,UNIVERSIDAD CNCI,UNIVERSIDAD CNCI - COAHUILA UNIVERSIDAD A DISTANCIA EXTENSIÓN SAN ANTONIO DE LAS ALAZANAS,19
COAHUILA,UNIVERSIDAD CNCI,UNIVERSIDAD CNCI - COAHUILA UNIVERSIDAD A DISTANCIA EXTENSIÓN SAN JOSÉ DEL AURA,20
COAHUILA,UNIVERSIDAD CNCI,UNIVERSIDAD CNCI - COAHUILA UNIVERSIDAD A DISTANCIA EXTENSIÓN VILLA UNIÓN,31
COAHUILA,UNIVERSIDAD DE DURANGO,UNIVERSIDAD DE DURANGO - CAMPUS TORREÓN,152
COAHUILA,UNIVERSIDAD DE ESTUDIOS AVANZADOS,UNIVERSIDAD DE ESTUDIOS AVANZADOS - CAMPUS SALTILLO,676
COAHUILA,UNIVERSIDAD DE ESTUDIOS Y CAPACITACIÓN HUMANA,UNIVERSIDAD DE ESTUDIOS Y CAPACITACIÓN HUMANA,314
COAHUILA,UNIVERSIDAD DEL DESARROLLO PROFESIONAL,UNIVERSIDAD DEL DESARROLLO PROFESIONAL - PLANTEL SALTILLO,571
COAHUILA,UNIVERSIDAD DEL DESARROLLO PROFESIONAL,UNIVERSIDAD DEL DESARROLLO PROFESIONAL - PLANTEL TORREÓN,437
COAHUILA,UNIVERSIDAD DEL VALLE DE MÉXICO,UNIVERSIDAD DEL VALLE DE MÉXICO - CAMPUS SALTILLO,817
COAHUILA,UNIVERSIDAD DEL VALLE DE MÉXICO,UNIVERSIDAD DEL VALLE DE MÉXICO - CAMPUS TORREÓN,562
COAHUILA,UNIVERSIDAD DEL VALLE DE PARRAS,UNIVERSIDAD DEL VALLE DE PARRAS,100
COAHUILA,UNIVERSIDAD DEL VALLE DE SANTIAGO,UNIVERSIDAD DEL VALLE DE SANTIAGO - UNIDAD ACUÑA,253
COAHUILA,UNIVERSIDAD DEL VALLE DE SANTIAGO,UNIVERSIDAD DEL VALLE DE SANTIAGO - UNIDAD BRAVO,"1,046"
COAHUILA,UNIVERSIDAD EMPRESARIAL DE LA LAGUNA,UNIVERSIDAD EMPRESARIAL DE LA LAGUNA,32
COAHUILA,UNIVERSIDAD IBEROAMERICANA - TORREÓN,UNIVERSIDAD IBEROAMERICANA TORREÓN,"1,567"
COAHUILA,UNIVERSIDAD IBEROAMERICANA - TORREÓN,UNIVERSIDAD IBEROAMERICANA TORREÓN - EXTENSIÓN SALTILLO,50
COAHUILA,UNIVERSIDAD INTERAMERICANA DEL BRAVO,UNIVERSIDAD INTERAMERICANA DEL BRAVO,59
COAHUILA,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO,UNIVERSIDAD INTERAMERICANA PARA EL DESARROLLO - CAMPUS SALTILLO,"1,156"
COAHUILA,"UNIVERSIDAD LA SALLE, A.C. - SALTILLO","UNIVERSIDAD LA SALLE, A.C. - SALTILLO",973
COAHUILA,UNIVERSIDAD METROPOLITANA DE COAHUILA,UNIVERSIDAD METROPOLITANA DE COAHUILA,109
